"DIVIPOLA","Departamento","Municipio","Número de Atenciones 2017","Número de Atenciones 2018","Número de Atenciones 2019","Número de Personas Atendidas 2017","Número de Personas Atendidas 2018","Número de Personas Atendidas 2019","Variación 2017 -2018","Variación 2018 - 2019","Total Número de embarazos, partos y puerperios","Total Número de Personas Atendidas de embarazos, partos y puerperios","tasa representativa (aproximación)","Tasa representativa "
"25653","Cundinamarca","San Cayetano    ","","","17","","","6","#DIV/0!","1","17","6","0 ??/10","35%"
"47258","Magdalena","El Piñon    ","","11","9","","9","6","1","-0.5","20","15","1 ??/11","75%"
"47318","Magdalena","Guamal     ","","7","50","","3","6","1","0.5","57","9","0 ??/10","16%"
"50568","Meta","Puerto Gaitán    ","","14","12","","5","6","1","0.16666666666667","26","11","0 ??/10","42%"
"54128","Norte de Santander","Cachirá     ","","51","15","","15","6","1","-1.5","66","21","0 ??/10","32%"
"54660","Norte de Santander","Salazar     ","3","11","15","1","4","6","0.75","0.33333333333333","29","11","0 ??/10","38%"
"54820","Norte de Santander","Toledo     ","2","","9","1","","6","#DIV/0!","1","11","7","1 ??/11","64%"
"68615","Santander","Rionegro     ","","3","17","","1","6","1","0.83333333333333","20","6","0 ??/10","30%"
"68861","Santander","Vélez     ","","8","14","","3","6","1","0.5","22","9","0 ??/10","41%"
"5079"," Antioquia","Barbosa     ","","4","21","","1","5","1","0.8","25","6","0 ??/10","24%"
"5318"," Antioquia","Guarne     ","","11","19","","3","5","1","0.4","30","8","0 ??/10","27%"
"13042","Bolívar","Arenal     ","","4","11","","2","5","1","0.6","15","5","0 ??/10","33%"
"13670","Bolívar","San Pablo    ","","","8","","","5","#DIV/0!","1","8","5","1 ??/11","63%"
"13810","Bolívar","Tiquisio     ","","","8","","","5","#DIV/0!","1","8","5","1 ??/11","63%"
"15047","Boyacá","Aquitania     ","","","14","","","5","#DIV/0!","1","14","5","0 ??/10","36%"
"15646","Boyacá","Samacá     ","","","15","","","5","#DIV/0!","1","15","5","0 ??/10","33%"
"15806","Boyacá","Tibasosa     ","","","7","","","5","#DIV/0!","1","7","5","1 ??/11","71%"
"20013","Cesar","Agustín Codazzi    ","4","11","6","4","6","5","0.33333333333333","-0.2","21","15","1 ??/11","71%"
"25320","Cundinamarca","Guaduas     ","","42","17","","3","5","1","0.4","59","8","0 ??/10","14%"
"25658","Cundinamarca","San Francisco    ","","2","15","","1","5","1","0.8","17","6","0 ??/10","35%"
"25740","Cundinamarca","Sibaté     ","","","24","","","5","#DIV/0!","1","24","5","0 ??/10","21%"
"44855","La Guajira","Urumita     ","","10","8","","4","5","1","0.2","18","9","0 ??/10","50%"
"50110","Meta","Barranca De Upía   ","3","2","11","1","1","5","0","0.8","16","7","0 ??/10","44%"
"63001","Quindio","Armenia     ","","","9","","","5","#DIV/0!","1","9","5","1 ??/11","56%"
"68209","Santander","Confines     ","","3","6","","2","5","1","0.6","9","7","1 ??/11","78%"
"70215","Sucre","Corozal     ","","1","7","","1","5","1","0.8","8","6","1 ??/11","75%"
"70823","Sucre","Tolú Viejo    ","","4","13","","2","5","1","0.6","17","7","0 ??/10","41%"
"85410","Casanare","Tauramena     ","","3","12","","3","5","1","0.4","15","8","1 ??/11","53%"
"5045"," Antioquia","Apartadó     ","6","14","14","3","6","4","0.5","-0.5","34","13","0 ??/10","38%"
"5237"," Antioquia","Don Matías    ","","","10","","","4","#DIV/0!","1","10","4","0 ??/10","40%"
"5321"," Antioquia","Guatape     ","","","13","","","4","#DIV/0!","1","13","4","0 ??/10","31%"
"5697"," Antioquia","El Santuario    ","","8","16","","2","4","1","0.5","24","6","0 ??/10","25%"
"13222","Bolívar","Clemencia     ","","13","5","","8","4","1","-1","18","11","1 ??/11","61%"
"13657","Bolívar","San Juan Nepomuceno   ","","9","5","","6","4","1","-0.5","14","10","1 ??/11","71%"
"15087","Boyacá","Belén     ","","","10","","","4","#DIV/0!","1","10","4","0 ??/10","40%"
"15600","Boyacá","Ráquira     ","","","13","","","4","#DIV/0!","1","13","4","0 ??/10","31%"
"15638","Boyacá","Sáchica     ","","","18","","","4","#DIV/0!","1","18","4","0 ??/10","22%"
"15693","Boyacá","Santa Rosa De Viterbo  ","","4","14","","1","4","1","0.75","18","5","0 ??/10","28%"
"17174","Caldas","Chinchiná     ","","4","5","","1","4","1","0.75","9","5","1 ??/11","56%"
"19845","Cauca","Villa Rica    ","","","4","","","4","#DIV/0!","1","4","4","1 ??/11","100%"
"25183","Cundinamarca","Chocontá     ","","","9","","","4","#DIV/0!","1","9","4","0 ??/10","44%"
"47170","Magdalena","Chibolo     ","","39","61","","2","4","1","0.5","100","6","0 ??/10","6%"
"47675","Magdalena","Salamina     ","","10","7","","4","4","1","0","17","8","0 ??/10","47%"
"50573","Meta","Puerto López    ","","1","11","","1","4","1","0.75","12","5","0 ??/10","42%"
"50577","Meta","Puerto Lleras    ","","","15","","","4","#DIV/0!","1","15","4","0 ??/10","27%"
"50711","Meta","Vistahermosa     ","","2","10","","1","4","1","0.75","12","5","0 ??/10","42%"
"54051","Norte de Santander","Arboledas     ","2","22","10","1","7","4","0.85714285714286","-0.75","34","12","0 ??/10","35%"
"54099","Norte de Santander","Bochalema     ","10","25","13","3","7","4","0.57142857142857","-0.75","48","14","0 ??/10","29%"
"54239","Norte de Santander","Durania     ","","9","7","","3","4","1","0.25","16","7","0 ??/10","44%"
"54245","Norte de Santander","El Carmen    ","","6","15","","3","4","1","0.25","21","7","0 ??/10","33%"
"54344","Norte de Santander","Hacarí     ","2","2","27","1","2","4","0.5","0.5","31","7","0 ??/10","23%"
"54418","Norte de Santander","Lourdes     ","7","9","12","3","2","4","-0.5","0.5","28","9","0 ??/10","32%"
"54480","Norte de Santander","Mutiscua     ","","3","18","","1","4","1","0.75","21","5","0 ??/10","24%"
"54673","Norte de Santander","San Cayetano    ","","15","4","","4","4","1","0","19","8","0 ??/10","42%"
"68162","Santander","Cerrito     ","","2","5","","2","4","1","0.5","7","6","1 ??/11","86%"
